pert_iname,InChIKey,clinical_phase,moa,target,disease_area,indication
BMS-777607,VNBRGSXVFBYQNN-UHFFFAOYSA-N,Phase 1/Phase 2,AXL kinase inhibitor|c-Met inhibitor|FLT3 inhibitor|hepatocyte growth factor receptor inhibitor|macrophage migration inhibiting factor inhibitor|tyrosine kinase inhibitor,AXL|MERTK|MET|MST1R|TYRO3,,
BMS-779788,JLPURTXCSILYLW-UHFFFAOYSA-N,Phase 1,LXR agonist,,,
BMS-806,OKGPFTLYBPQBIX-CQSZACIVSA-N,Phase 1,HIV attachment inhibitor,,,
BMS-813160,CMVHFGNTABZQJU-HCXYKTFWSA-N,Phase 2,CC chemokine receptor antagonist,,,
BMS-817378,KXDZWUPUSDCGDD-UHFFFAOYSA-N,Phase 1,c-Met inhibitor|VEGFR inhibitor,KDR|MET,,
BMS-833923,KLRRGBHZCJLIEL-UHFFFAOYSA-N,Phase 2,smoothened receptor antagonist,SMO,,
BMS-863233,JJWLXRKVUJDJKG-VIFPVBQESA-N,Phase 1/Phase 2,CDC inhibitor,CDC7|PIM1,,
BMS-906024,AYOUDDAETNMCBW-GSHUGGBRSA-N,Phase 1,gamma secretase inhibitor,,,
BMS-911543,JCINBYQJBYJGDM-UHFFFAOYSA-N,Phase 1/Phase 2,JAK inhibitor,,,
BMS-935177,TVJRDCQUZMGBAB-UHFFFAOYSA-N,Preclinical,Bruton's tyrosine kinase (BTK) inhibitor,,,
BMS-983970,RANYIWAZSQWERN-WLENULPWSA-N,Phase 1,notch signaling inhibitor,,,
BMS-986020,GQBRZBHEPUQRPL-LJQANCHMSA-N,Phase 2,lysophosphatidic acid receptor antagonist,LPAR1,,
BMS-986142,ZRYMMWAJAFUANM-INIZCTEOSA-N,Phase 2,Bruton's tyrosine kinase (BTK) inhibitor,,,
BMS-986158,KGERZPVQIRYWRK-GDLZYMKVSA-N,Phase 1/Phase 2,bromodomain inhibitor,,,
BMS-986195,VJPPLCNBDLZIFG-ZDUSSCGKSA-N,Phase 1,Bruton's tyrosine kinase (BTK) inhibitor,,,
BMS-986205,KRTIYQIPSAGSBP-ZACQAIPSSA-N,Phase 3,"indoleamine 2,3-dioxygenase inhibitor",,,
BMS-CCR2-22,IBPXYDUJQWENPM-XZOQPEGZSA-N,Preclinical,CC chemokine receptor antagonist,CCR2,,
BMY-14802,ZXUYYZPJUGQHLQ-KRWDZBQOSA-N,Phase 2,sigma receptor antagonist,HTR1A,,
BMY-45778,DSRSEEYZGWTODH-UHFFFAOYSA-N,Preclinical,IP1 prostacyclin receptor agonist,PTGIR,,
BMY-7378,AYYCFGDXLUPJAQ-UHFFFAOYSA-N,Preclinical,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|HTR1A,,
BNC105,RADMJHVVIZTENA-UHFFFAOYSA-N,Phase 2,tubulin polymerization inhibitor,,,
BNTX,WXOUFNFMPVMGFZ-BDQAUFNLSA-N,Preclinical,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,,
boceprevir,LHHCSNFAOIFYRV-ZYNAIFEFSA-N,Launched,HCV inhibitor,CMA1|CTSA|CTSF|CTSK|CTSL|CTSS,infectious disease,hepatitis C
bonaphthone,MXWZRRPNVLCHMY-UHFFFAOYSA-N,Phase 3,,,,
bopindolol,UUOJIACWOAYWEZ-GOSISDBHSA-N,Launched,adrenergic receptor antagonist,,cardiology,hypertension|coronary artery disease (CAD)
bornyl-acetate,KGEKLUUHTZCSIP-JFGNBEQYSA-N,Preclinical,,,,
boronophenylalanine,NFIVJOSXJDORSP-QMMMGPOBSA-N,Phase 2,,,,
bortezomib,GXJABQQUPOEUTA-RDJZCZTQSA-N,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
BOS-172722,SGWLRDAOCLITOM-UHFFFAOYSA-N,Phase 1,monopolar spindle 1 kinase inhibitor,,,
bosentan,GJPICJJJRGTNOD-UHFFFAOYSA-N,Launched,endothelin receptor antagonist,EDNRA|EDNRB,pulmonary,pulmonary arterial hypertension (PAH)
bosutinib,UBPYILGKFZZVDX-UHFFFAOYSA-N,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK,hematologic malignancy,chronic myeloid leukemia (CML)
BP-554,VUSNBQDZGKZEDL-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR1A,,
BP-897,MNHDKMDLOJSCGN-UHFFFAOYSA-N,Phase 2,dopamine receptor agonist,ADRA1A|ADRA1D|ADRA2A|DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2B,,
BQ-123,VYCMAAOURFJIHD-PJNXIOHISA-N,Phase 2,endothelin receptor antagonist,EDNRA,,
BQ-788,LPAHKJMGDSJDRG-DJYQTOCQSA-N,Phase 1,endothelin receptor antagonist,EDNRB,,
BQU57,QFUFJOJDXRWBNA-YUZLPWPTSA-N,Preclinical,Ras GTPase inhibitor,RALA|RALB,,
BRD4770,UCGWYCMPZXDHNR-UHFFFAOYSA-N,Preclinical,histone lysine methyltransferase inhibitor,EHMT2,,
BRD7389,XASCINRGTHLHGM-UHFFFAOYSA-N,Preclinical,ribosomal protein inhibitor,RPS6KA1|RPS6KA2|RPS6KA3,,
BRD7389,"InChI=1S/C24H18N2O2/c27-23-17-10-5-4-9-16(17)21-20-18(23)11-6-12-19(20)26-24(28)22(21)25-14-13-15-7-2-1-3-8-15/h1-12,25H,13-14H2,(H,26,28)",Preclinical,ribosomal protein inhibitor,RPS6KA1|RPS6KA2|RPS6KA3,,
BRD9876,MKILROQBJOOZKC-UHFFFAOYSA-N,Preclinical,kinesin inhibitor,KIF11,,
brefeldin-A,KQNZDYYTLMIZCT-KQPMLPITSA-N,Preclinical,protein synthesis inhibitor,ARF1|CYTH2,,
bremelanotide,FFHBJDQSGDNCIV-VEUPWBLKSA-N,Launched,melanocortin receptor agonist,MC1R|MC2R|MC3R|MC4R|MC5R,neurology/psychiatry,hypoactive sexual desire disorder
brequinar,PHEZJEYUWHETKO-UHFFFAOYSA-N,Phase 2,dihydroorotate dehydrogenase inhibitor,DHODH,,
bretazenil,LWUDDYHYYNNIQI-ZDUSSCGKSA-N,Phase 2,GABA benzodiazepine site receptor partial agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6,,
bretylium,AAQOQKQBGPPFNS-UHFFFAOYSA-N,Launched,norepinephrine inhibitor,ATP1A1,cardiology,ventricular arrhythmias|ventricular fibrillation (VF)|ventricular tachycardia (VT)
brexpiprazole,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,Launched,dopamine receptor partial agonist,DRD2,neurology/psychiatry,depression|schizophrenia
briciclib,LXENKEWVEVKKGV-BQYQJAHWSA-N,Phase 1,cyclin D inhibitor,CCND1,,
brigatinib,AILRADAXUVEEIR-UHFFFAOYSA-N,Launched,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,ALK|EGFR,oncology,non-small cell lung cancer (NSCLC)
brilliant-green,HXCILVUBKWANLN-UHFFFAOYSA-N,Launched,,,infectious disease,antiseptic
brimonidine,XYLJNLCSTIOKRM-UHFFFAOYSA-N,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
brincidofovir,WXJFKKQWPMNTIM-VWLOTQADSA-N,Phase 3,antiviral,,,
brinzolamide,HCRKCZRJWPKOAR-JTQLQIEISA-N,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA5A|CA7,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
brivanib,WCWUXEGQKLTGDX-LLVKDONJSA-N,Phase 3,FGFR inhibitor|VEGFR inhibitor,CYP3A4|FGFR1|FLT1|KCNH2|KDR,,
brivanib-alaninate,LTEJRLHKIYCEOX-OCCSQVGLSA-N,Phase 3,FGFR inhibitor|VEGFR inhibitor,FGFR3,,
brivudine,ODZBBRURCPAEIQ-PIXDULNESA-N,Launched,DNA directed DNA polymerase inhibitor,,infectious disease,shingles
BRL-15572,QJHCTHPYUOXOGM-DEOSSOPVSA-N,Preclinical,serotonin receptor antagonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6,,
BRL-26314,SAOHCSVJQIAGDD-OAHLLOKOSA-N,Phase 1,cholesterol inhibitor,LPL,,
BRL-37344,ZGGNJJJYUVRADP-ACJLOTCBSA-N,Phase 2,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,,
BRL-44408,SGOFAUSEYBZKDQ-SNVBAGLBSA-N,Preclinical,adrenergic receptor antagonist,ADRA2A|ADRA2B|ADRA2C,,
BRL-50481,IFIUFCJFLGCQPH-UHFFFAOYSA-N,Preclinical,phosphodiesterase inhibitor,PDE7A|PDE7B,,
BRL-52537,GHCCBWMZKJQGLS-OAHLLOKOSA-N,Preclinical,opioid receptor agonist,OPRK1,,
BRL-54443,WKNFADCGOAHBPG-UHFFFAOYSA-N,Preclinical,serotonin receptor agonist,HTR1E|HTR1F,,
brolitene,OSCTXCOERRNGLW-VOTSOKGWSA-N,Launched,muscle relaxant,RYR1,rheumatology,lumbago
bromantan,LWJALJDRFBXHKX-UHFFFAOYSA-N,Launched,dopamine reuptake inhibitor|serotonin reuptake inhibitor,,neurology/psychiatry,neurasthenia
bromebric-acid,UPZFHUODAYGHDZ-TWGQIWQCSA-N,Preclinical,DNA synthesis inhibitor|purine antagonist,,,
bromfenac,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,Withdrawn,cyclooxygenase inhibitor,PTGS1|PTGS2,,
bromhexine,OJGDCBLYJGHCIH-UHFFFAOYSA-N,Launched,mucolytic agent,,pulmonary,chest congestion
bromindione,NPUZIGSOEWMFKK-UHFFFAOYSA-N,Phase 2,anticoagulant,,,
bromisoval,CMCCHHWTTBEZNM-SCSAIBSYSA-N,Preclinical,anti-inflammatory agent,,,
bromocriptine,OZVBMTJYIDMWIL-AYFBDAFISA-N,Launched,dopamine receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
bromopride,GIYAQDDTCWHPPL-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,DRD2,gastroenterology,nausea|vomiting|gastroesophageal reflux disease (GERD)
bromosporine,UYBRROMMFMPJAN-UHFFFAOYSA-N,Preclinical,bromodomain inhibitor,,,
bromperidol,RKLNONIVDFXQRX-UHFFFAOYSA-N,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,schizophrenia
brompheniramine,ZDIGNSYAACHWNL-HNNXBMFYSA-N,Launched,histamine receptor antagonist,HRH1,allergy|otolaryngology,allergic rhinitis|common cold
bronopol,LVDKZNITIUWNER-UHFFFAOYSA-N,Launched,,,obstetrics/gynecology,mastitis
bropirimine,CIUUIPMOFZIWIZ-UHFFFAOYSA-N,Phase 3,interferon inducer,,,
broxaldine,IJTPLVAAROHGGB-UHFFFAOYSA-N,Preclinical,,,,
broxaterol,JBRBWHCVRGURBA-ZCFIWIBFSA-N,Phase 3,adrenergic receptor agonist,ADRB2,,
broxuridine,WOVKYSAHUYNSMH-RRKCRQDMSA-N,Phase 2,antimetabolite,,,
broxyquinoline,ZDASUJMDVPTNTF-UHFFFAOYSA-N,Phase 1,antiprotozoal agent,,,
bruceantin,KMCZIPGKKBSLEX-AOHBHZTBSA-N,Phase 2,protein synthesis inhibitor,,,
brucine,RRKTZKIUPZVBMF-IBTVXLQLSA-N,Preclinical,glycine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,,
BS-181,DNYBIOICMDTDAP-UHFFFAOYSA-N,Preclinical,CDK inhibitor,CDK7,,
BT-11,MVHWZNBAQIGPOQ-UHFFFAOYSA-N,Phase 2,cAMP stimulant,,,
BTB06584,WNDWKKPBLAKXMI-UHFFFAOYSA-N,Preclinical,ATPase inhibitor,ATP5F1,,
BTB1,VZDUQPHKUBZMLW-UHFFFAOYSA-N,Preclinical,mitotic kinesin inhibitor,KIF18A,,
BTK-IN-1,SPSNKQVUYDXOGY-OAHLLOKOSA-N,Preclinical,Bruton's tyrosine kinase (BTK) inhibitor,,,
BTS,WTHKAJZQYNKTCJ-UHFFFAOYSA-N,Preclinical,,,,
BTS-54505,WQSACWZKKZPCHN-CQSZACIVSA-N,Withdrawn,dopamine reuptake inhibitor,SLC6A2|SLC6A3|SLC6A4,,
BTS-71321,GRKYRJREJPZXIU-UHFFFAOYSA-N,Phase 2,,,,
BTS-72664,FCEPUTGEUCVRRI-SECBINFHSA-N,Phase 1,GABA receptor antagonist,GABBR1,,
BTT-3033,NSLIQOPYDUKWTA-UHFFFAOYSA-N,Preclinical,integrin inhibitor,ITGA2|ITGB1,,
BTZ043-racemate,GTUIRORNXIOHQR-VIFPVBQESA-N,Phase 1/Phase 2,DPRE1 inhibitor,,,
BU-224,OSUVWJGCKQEMHK-UHFFFAOYSA-N,Preclinical,imidazoline receptor ligand,MAOA|MAOB,,
BU-239,MQSSFHXQKUSFIW-UHFFFAOYSA-N,Preclinical,imidazoline receptor agonist|imidazoline receptor ligand,,,
BU-239,"InChI=1S/C11H10N4/c1-2-4-9-8(3-1)14-7-10(15-9)11-12-5-6-13-11/h1-4,7H,5-6H2,(H,12,13)",Preclinical,imidazoline receptor agonist|imidazoline receptor ligand,,,
BU226,ZXRSVNHYTSSFMN-UHFFFAOYSA-N,Preclinical,imidazoline receptor ligand,,,
bucetin,LIAWQASKBFCRNR-SECBINFHSA-N,Withdrawn,analgesic agent,,,
bucillamine,VUAFHZCUKUDDBC-BYPYZUCNSA-N,Launched,immunosuppressant,,rheumatology,rheumatoid arthritis
bucladesine,CJGYSWNGNKCJSB-YVLZZHOMSA-N,Launched,adenosine receptor agonist|cAMP stimulant,PRKACA,dermatology,skin ulcer
buclizine,MOYGZHXDRJNJEP-MHZLTWQESA-N,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry,migraine headache
budesonide,VOVIALXJUBGFJZ-AMTWPJRWSA-N,Launched,glucocorticoid receptor agonist,NR3C1,gastroenterology,Crohn's disease
budipine,QIHLUZAFSSMXHQ-UHFFFAOYSA-N,Launched,glutamate receptor antagonist,GRIN1,neurology/psychiatry,Parkinson's Disease
bufexamac,MXJWRABVEGLYDG-UHFFFAOYSA-N,Withdrawn,cyclooxygenase inhibitor,HDAC10|HDAC6,,
buflomedil,OWYLAEYXIQKAOL-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist|calcium channel blocker,ADRA1A,cardiology,peripheral artery disease (PAD)
bumetanide,MAEIEVLCKWDQJH-UHFFFAOYSA-N,Launched,solute carrier family member inhibitor,CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5,cardiology,edema|congestive heart failure
bunazosin,RHLJLALHBZGAFM-UHFFFAOYSA-N,Launched,adrenergic receptor antagonist,ADRA1A,ophthalmology,glaucoma|intraocular pressure
buparlisib,CWHUFRVAEUJCEF-UHFFFAOYSA-N,Phase 3,PI3K inhibitor,PIK3CA|PIK3CG,,
buparvaquone,OMMKCJLAGTXGLC-MQBCKMQZSA-N,Launched,antiprotozoal agent,,infectious disease,protozoan infection
buphenine,PTGXAUBQBSGPKF-UHFFFAOYSA-N,Launched,adrenergic receptor agonist,ADRB2,rheumatology,Raynaud's disease
bupicomide,VKSPIPWLHGKJQO-UHFFFAOYSA-N,Phase 1,adrenergic receptor antagonist,ADRB1,,
bupivacaine,LEBVLXFERQHONN-INIZCTEOSA-N,Launched,sodium channel blocker,KCNA5|SCN10A,neurology/psychiatry,peripheral nerve block|caudal epidural block|lumbar epidural block
bupranolol,HQIRNZOQPUAHHV-NSHDSACASA-N,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology|ophthalmology,hypertension|glaucoma
bupropion,SNPPWIUOZRMYNY-SECBINFHSA-N,Launched,dopamine reuptake inhibitor,SLC6A2|SLC6A3,neurology/psychiatry,depression
buramate,YFLRYAVDPKONNX-UHFFFAOYSA-N,Preclinical,antiepileptic,,,
buserelin,CUWODFFVMXJOKD-UVLQAERKSA-N,Launched,gonadotropin releasing factor hormone receptor agonist,,oncology|obstetrics/gynecology,prostate cancer|endometriosis
buspirone,QWCRAEMEVRGPNT-UHFFFAOYSA-N,Launched,serotonin receptor agonist,DRD2|HTR1A,neurology/psychiatry,generalized anxiety disorder (GAD)
busulfan,COVZYZSDYWQREU-UHFFFAOYSA-N,Launched,DNA inhibitor,,hematologic malignancy,chronic myeloid leukemia (CML)
butabindide,HAQIRIMIVLFYIX-ZFWWWQNUSA-N,Preclinical,tripeptidyl peptidase inhibitor,TPP2,,
butacaine,HQFWVSGBVLEQGA-UHFFFAOYSA-N,Launched,local anesthetic,,neurology/psychiatry,local anesthetic
butaclamol,ZZJYIKPMDIWRSN-HWBMXIPRSA-N,Phase 2,dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A,,
butalbital,UZVHFVZFNXBMQJ-UHFFFAOYSA-N,Launched,GABA receptor antagonist,CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2,neurology/psychiatry,headache|muscle relaxant
butamben,IUWVALYLNVXWKX-UHFFFAOYSA-N,Withdrawn,sodium channel blocker,,,
butaprost,XRISENIKJUKIHD-LHQZMKCDSA-N,Preclinical,prostaglandin receptor agonist,,,
butein,AYMYWHCQALZEGT-ORCRQEGFSA-N,Preclinical,EGFR inhibitor|SRC inhibitor,ACE,,
butenafine,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
buthionine-sulfoximine,KJQFBVYMGADDTQ-CVSPRKDYSA-N,Phase 1,glutathione transferase inhibitor,GCLM,,
butibufen,UULSXYSSHHRCQK-CYBMUJFWSA-N,Withdrawn,cyclooxygenase inhibitor,,,
butoconazole,SWLMUYACZKCSHZ-INIZCTEOSA-N,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,vulvovaginal candidiasis
butofilolol,NMBNQRJDEPOXCP-ZDUSSCGKSA-N,Phase 2,adrenergic receptor antagonist,,,
butyl-paraben,QFOHBWFCKVYLES-UHFFFAOYSA-N,Preclinical,DNA synthesis inhibitor,,,
butylated-hydroxyanisole,MRBKEAMVRSLQPH-UHFFFAOYSA-N,Preclinical,antioxidant,,,
butylated-hydroxytoluene,NLZUEZXRPGMBCV-UHFFFAOYSA-N,Phase 1,carbonic anhydrase inhibitor,CA2,,
butylidenephthalide,WMBOCUXXNSOQHM-FLIBITNWSA-N,Phase 1/Phase 2,cyclooxygenase inhibitor,,,
butylphthalide,HJXMNVQARNZTEE-LLVKDONJSA-N,Launched,potassium channel antagonist,KCNK2,neurology/psychiatry,stroke
butylscopolamine-bromide,YBCNXCRZPWQOBR-FRNBUXIHSA-N,Launched,cholinergic receptor antagonist,,gastroenterology,abdominal pain
BVD-523,KSERXGMCDHOLSS-LJQANCHMSA-N,Phase 2,MAP kinase inhibitor,,,
BVT-2733,YDPRNGAPPNPYQQ-UHFFFAOYSA-N,Preclinical,11-beta hydroxysteroid dehydrogenase inhibitor,HSD17B1,,
BVT-948,LLPBUXODFQZPFH-UHFFFAOYSA-N,Preclinical,tyrosine phosphatase inhibitor,PTPN1|PTPN11|PTPN2,,
BW-180C,ZHUJMSMQIPIPTF-IBURTVSXSA-N,Phase 2,opioid receptor agonist,OPRD1|OPRM1,,
BW-348U87,YYLKOELWSMRYHV-VXLYETTFSA-N,Preclinical,antiviral,,,
BW-373U86,LBLDMHBSVIVJPM-YZIHRLCOSA-N,Preclinical,opioid receptor agonist,OPRD1,,
BW-616U,MLPSDBJCWIYSEA-UHFFFAOYSA-N,Preclinical,monoamine oxidase inhibitor,MAOA,,
BW-723C86,ALFGDCNSEBJYSP-LLVKDONJSA-N,Preclinical,serotonin receptor agonist,HTR2A|HTR2B|HTR2C,,
BW-A4C,CEUDWZXMLMKPNN-SOFGYWHQSA-N,Phase 1,lipoxygenase inhibitor,ALOX5,,
BW-B70C,UAIYNMRLUHHRMF-FYJFLYSWSA-N,Preclinical,lipoxygenase inhibitor,ALOX5,,
BX-795,VAVXGGRQQJZYBL-UHFFFAOYSA-N,Preclinical,IKK inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,,
BX-912,DMMILYKXNCVKOJ-UHFFFAOYSA-N,Preclinical,pyruvate dehydrogenase kinase inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,,
BYK-204165,BTYSIDSTHDDAJW-LCYFTJDESA-N,Preclinical,PARP inhibitor,PARP1,,
C-021,WYVBISCFCHREDA-UHFFFAOYSA-N,Preclinical,CC chemokine receptor antagonist,CCR4,,
C-1,UPTYCYWTFGTCCG-UHFFFAOYSA-N,Preclinical,protein kinase inhibitor,PRKCA,,
C-751,KLWYPRNPRNPORS-UHFFFAOYSA-N,Preclinical,,,,
C106,GEGPCGHEPLKDLY-DRHSTVBOSA-N,Phase 3,,,,
C11-Acetate,GRTBAGCGDOYUBE-UHFFFAOYSA-N,Phase 3,,ABAT|ACE|AKR1C3|CA2|CELA1|ESR2|FFAR2|FFAR3|HPRT1|LTA4H|MMP12|NOS1|NOS3|PLA2G1B|PTPN1|SOD1|TXN,,
C188-9,QDCJDYWGYVPBDO-UHFFFAOYSA-N,Preclinical,STAT inhibitor,,,
C34,KMIQMFHPUJUDMC-HHARLNAUSA-N,Preclinical,toll-like receptor inhibitor,TLR4,,
C646,HEKJYZZSCQBJGB-UHFFFAOYSA-N,Preclinical,histone acetyltransferase inhibitor,EP300,,
CA-4948,RWIMETUXCNDSLE-UHFFFAOYSA-N,Phase 1,kinase inhibitor,,,
cabagin,YDBYJHTYSHBBAU-YFKPBYRVSA-O,Launched,,,gastroenterology,dyspepsia
cabaletta,HDTRYLNUVZCQOY-LIZSDCNHSA-N,Phase 2,pharmacological chaperone,,,
cabazitaxel,BMQGVNUXMIRLCK-OAGWZNDDSA-N,Launched,microtubule inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,prostate cancer
cabergoline,KORNTPPJEAJQIU-KJXAQDMKSA-N,Launched,dopamine receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7,endocrinology,hyperprolactinemia
cabotegravir,WCWSTNLSLKSJPK-LKFCYVNXSA-N,Phase 3,HIV integrase inhibitor,,,
cabozantinib,ONIQOQHATWINJY-UHFFFAOYSA-N,Launched,RET tyrosine kinase inhibitor|VEGFR inhibitor,KDR|MET|RET,oncology,medullary thyroid cancer (MTC)
cabozantinib,"InChI=1S/C28H24FN3O5/c1-35-24-15-21-22(16-25(24)36-2)30-14-11-23(21)37-20-9-7-19(8-10-20)32-27(34)28(12-13-28)26(33)31-18-5-3-17(29)4-6-18/h3-11,14-16H,12-13H2,1-2H3,(H,31,33)(H,32,34)",Launched,RET tyrosine kinase inhibitor|VEGFR inhibitor,KDR|MET|RET,oncology,medullary thyroid cancer (MTC)
CaCCinh-A01,ACLUEOBQFRYTQS-JTQLQIEISA-N,Preclinical,calcium-activated chloride channel inhibitor,CLCA1,,
cadazolid,XWFCFMXQTBGXQW-GOSISDBHSA-N,Phase 3,antibacterial ,,,
cadralazine,QLTVVOATEHFXLT-SECBINFHSA-N,Launched,adrenergic receptor antagonist,,cardiology,hypertension
cafestol,DNJVYWXIDISQRD-HWUKTEKMSA-N,Launched,pregnane X receptor agonist,,,
caffeic-acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,Preclinical,HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor,ALOX5|MIF,,
caffeic-acid-phenethyl-ester,SWUARLUWKZWEBQ-VQHVLOKHSA-N,Preclinical,HIV integrase inhibitor,RELA,,
caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3,neurology/psychiatry,fatigue|drowsiness
calcifediol,JWUBBDSIWDLEOM-DTOXIADCSA-N,Launched,vitamin D receptor agonist,VDR,endocrinology,hyperparathyroidism
calcipotriol,LWQQLNNNIPYSNX-UROSTWAQSA-N,Launched,vitamin D receptor agonist,VDR,dermatology,psoriasis
calcitonin,JDJALSWDQPEHEJ-XXZWWZJQSA-N,Launched,calcitonin agonist,,orthopedics,osteoporosis
calcitriol,GMRQFYUYWCNGIN-NKMMMXOESA-N,Launched,vitamin D receptor agonist,VDR,endocrinology|orthopedics,hypocalcemia|hypoparathyroidism|osteoporosis
calcium-gluceptate,KWMLJOLKUYYJFJ-VFUOTHLCSA-N,Launched,,,,
calcium-levofolinate,VVIAGPKUTFNRDU-STQMWFEESA-N,Launched,,,,
Calhex-231,YTFUQWWKTIWYEY-CQLNOVPUSA-N,Preclinical,calcium sensing receptor negative allosteric modulator,CASR,,
calpeptin,PGGUOGKHUUUWAF-ROUUACIJSA-N,Preclinical,calpain inhibitor,,,
camicinal,RZKDEGZIFSJVNA-IBGZPJMESA-N,Phase 2,motilin receptor agonist,MLNR,,
CaMKII-IN-1,LGUUETDTMQTHML-UHFFFAOYSA-N,Preclinical,calcium/calmodulin dependent protein kinase inhibitor,AKT1|CAMK2A|CAMK4|MYLK,,
camobucol,FGBGXESDYFKUFX-UHFFFAOYSA-N,Preclinical,anti-inflammatory agent,,,
camostat-mesilate,XASIMHXSUQUHLV-UHFFFAOYSA-N,Launched,protease inhibitor,PRSS1,gastroenterology,pancreatitis
camphor-(+),DSSYKIVIOFKYAU-XCBNKYQSSA-N,Phase 2,,,,
camphor-(1R),DSSYKIVIOFKYAU-GMSGAONNSA-N,Phase 1,TRPV activator,TRPV1,,
camptothecin,VSJKWCGYPAHWDS-FQEVSTJZSA-N,Phase 3,topoisomerase inhibitor,TOP1,,
camylofine-chlorhydrate,RYOOHIUJEJZCFT-GOSISDBHSA-N,Launched,,,gastroenterology,abdominal pain
canagliflozin,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,Launched,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A2,endocrinology,diabetes mellitus
